                           TOPIK I Vocabulary（Beginner）


No.          한글               English         No.          한글                English
344   느낌          feeling                                     384   당신          you
345   느리다         slow                                        385   대           versus, large
346   늘           always                                      386   대답          answer
347   늘다          gain, increase                              387   대답하다        answer, reply
348   능력          ability                                     388   대부분         mostly, almost
349   늦다          late, delay                                 389   대사관         embassy
350   늦잠          overslept, sleeping in late                 390   대학          university, college
351   님           Sir                                         391   대학교         university, college
352   다           all, whole                                  392   대학생         college student
353   다녀오다        return, come back                           393   대학원         graduate school
354   다니다         go, commute                                 394   대학원생        postgraduate student, graduate student

355   다르다         different                                   395   대한민국        Republic of Korea, South Korea
356   다른          other ~, another ~, different ~             396   대화          conversation, dialogue
357   다리          bridge, leg, foot                           397   대회          competition, tournament
358   다섯          5                                           398   댁           house
359   다시          again                                       399   더           more
360   다음          next, after                                 400   더럽다         dirty
                            TOPIK I Vocabulary（Beginner）


No.          한글               English       No.          한글                English
401   더운물         hot water                 441   두부          tofu
402   덕분          thanks for, thanks to     442   두부찌개        tofu soup
403   덥다          hot                       443   둘           2
404   덮다          cover                     444   둘째          second, the second of~
405   데리다         bring, take along         445   뒤           rear, back
406   데이트         date, dating              446   뒤쪽          behind, back, towards the rear
407   도로          road                      447   드라마         drama
408   도서관         library                   448   드리다         give
409   도시          city                      449   드시다         eat (honorific form)
410   도와주다        help                      450   듣기          listening, hearing
411   도움          help, assistance          451   듣다          listen
412   도착          arrival                   452   들           field, ~s,
413   도착하다        arrive                    453   들다          hold, enter
414   도쿄          Tokyo                     454   들어가다        go in, enter
415   독서          reading                   455   들어오다        come in, enter
416   독서실         reading room              456   등           etc, back
417   독서하다        read                      457   등산          hiking, mountain-climbing
418   독일          Germany                   458   등산복         mountaineering clothing
419   돈           money                     459   등산화         hiking boots, climbing shoes
420   돌아가다        return, go back           460   디브이디        DVD
421   돌아오다        come back, come home      461   디자인         design
422   돕다          help                      462   따뜻하다        warm
423   동네          town, neighborhood        463   따라가다        follow
424   동대문시장       Dongdaemun market         464   따라오다        come with, follow
425   동물          animal                    465   따로          separately
426   동생          brother, sister           466   따르다         follow
427   동아리         club, group               467   딸           daughter
428   동안          during, between           468   딸기          strawberry
429   동양          eastern, orient           469   땀           sweat
430   동전          coin                      470   때           time
431   동쪽          east                      471   때문          because, for ~, so~
432   돼지          pig                       472   떠나다         leave
433   돼지고기        pork                      473   떠들다         chatter, make a noise
434   되다          become                    474   떡           rice cake
435   된장          fermented soybean paste   475   떡국          rice cake soup
436   된장국         soybean paste soup        476   떡볶이         Toppogi
437   된장찌개        soybean paste stew        477   떨어지다        drop
438   두           two                       478   또           in addition, again
439   두껍다         thick                     479   또는          or
440   두다          put                       480   똑같다         same
                           TOPIK I Vocabulary（Beginner）


No.          한글                 English              No.          한글                 English
481   똑바로         upright, straight                  521   매다          tie
482   뛰다          run                                522   매우          extremely, very
483   뜨겁다         hot                                523   매일          everyday
484   뜨다          rise, open (the eyes)              524   매주          every week
485   뜻           meaning                            525   맥주          beer
486   라디오         radio                              526   맵다          spicy
487   라면          ramen                              527   머리          head, hair
488   러시아         Russia                             528   먹다          eat
489   로션          skin lotion                        529   먼저          first, first of all, before
490   마늘          garlic                             530   멀다          far, distant, long
491   마르다         dry                                531   멋있다         cool, nice
492   마리          ~ animal(s), ~ head(s)             532   메뉴          menu
493   마시다         drink                              533   메다          shoulder, carry
